gaze_X, gaze_Y, fixationTime
227,0,0
226,0,12
225,0,23
223,0,34
221,1,45
219,2,55
219,6,68
222,11,78
226,17,89
230,23,100
231,26,113
230,26,123
228,25,134
225,25,145
221,26,156
216,25,168
213,24,179
212,22,189
211,19,201
210,17,212
210,18,223
211,17,234
214,18,244
219,15,0
220,12,9
220,8,20
218,5,33
216,4,43
212,4,55
209,6,66
208,7,77
206,7,88
205,7,100
204,9,110
203,11,122
203,12,132
204,12,143
206,11,155
208,10,166
208,8,176
208,4,189
208,-1,199
208,-6,210
209,-11,222
211,-13,233
212,-13,243
213,-12,255
214,-11,266
215,-9,276
217,-8,288
220,-5,299
222,-2,309
224,0,322
225,2,333
224,3,342
223,5,355
221,6,366
220,8,377
218,9,388
216,9,399
214,10,409
212,13,422
210,16,432
208,19,443
207,21,455
206,22,466
207,22,477
208,22,488
209,21,499
209,20,509
209,21,522
209,22,532
209,24,542
208,25,555
207,26,568
206,27,577
205,27,588
204,28,599
205,29,609
207,30,621
210,31,632
212,32,643
212,33,656
210,32,665
207,31,677
204,28,687
203,26,699
201,24,709
202,22,722
204,23,733
206,24,743
208,25,754
211,27,766
212,29,776
212,32,788
212,35,798
212,37,810
211,39,823
210,39,833
210,37,842
208,37,855
206,35,865
205,35,876
204,35,888
207,35,899
212,36,909
216,37,921
219,38,932
219,38,942
220,39,954
221,38,965
221,36,975
221,34,988
216,31,999
210,30,1007
206,30,1021
202,31,1032
202,33,1042
203,34,1056
205,35,1065
214,36,0
217,34,12
219,31,23
219,29,33
216,30,45
212,31,59
204,32,66
197,33,79
186,33,90
176,34,99
174,35,111
180,33,122
190,32,135
202,30,145
211,30,156
212,33,166
213,35,180
213,34,190
213,32,201
211,29,212
210,27,223
209,29,233
208,31,246
210,32,257
211,33,267
211,33,278
210,34,290
209,35,300
207,37,312
207,40,322
207,42,332
209,44,345
211,44,356
212,39,366
212,34,378
212,29,389
211,24,400
212,25,412
212,24,423
235,56,0
243,68,12
246,73,23
243,70,33
241,68,45
237,65,57
230,59,66
223,54,78
216,48,89
210,42,99
210,39,112
210,34,123
213,29,134
216,26,146
218,23,156
220,23,166
220,23,178
221,23,189
224,25,202
227,26,213
230,28,223
230,30,233
229,31,245
226,33,257
219,35,266
214,37,279
209,37,290
206,33,300
207,28,311
528,17,0
770,32,0
829,36,9
