gaze_X, gaze_Y, pos_X, pos_Y, fixationTime
227,0,-734,1411,0
226,0,-734,1410,12
225,0,-734,1410,23
223,0,-735,1409,34
221,1,-736,1409,45
219,2,-736,1409,55
219,6,-736,1408,68
222,11,-736,1406,78
226,17,-736,1406,89
230,23,-736,1405,100
231,26,-737,1405,113
230,26,-737,1405,123
228,25,-738,1406,134
225,25,-739,1407,145
221,26,-739,1407,156
216,25,-740,1408,168
213,24,-741,1409,179
212,22,-741,1409,189
211,19,-741,1409,201
210,17,-742,1408,212
210,18,-742,1408,223
211,17,-743,1408,234
214,18,-744,1408,244
219,15,-745,1406,0
220,12,-745,1406,9
220,8,-746,1405,20
218,5,-747,1404,33
216,4,-747,1404,43
212,4,-748,1405,55
209,6,-749,1405,66
208,7,-749,1405,77
206,7,-749,1404,88
205,7,-750,1403,100
204,9,-750,1403,110
203,11,-751,1405,122
203,12,-752,1406,132
204,12,-752,1406,143
206,11,-752,1405,155
208,10,-752,1404,166
208,8,-752,1404,176
208,4,-753,1404,189
208,-1,-753,1403,199
208,-6,-753,1403,210
209,-11,-754,1403,222
211,-13,-754,1400,233
212,-13,-754,1400,243
213,-12,-754,1399,255
214,-11,-754,1396,266
215,-9,-754,1396,276
217,-8,-755,1394,288
220,-5,-755,1392,299
222,-2,-755,1392,309
224,0,-755,1391,322
225,2,-756,1390,333
224,3,-756,1390,342
223,5,-756,1390,355
221,6,-756,1390,366
220,8,-756,1390,377
218,9,-756,1389,388
216,9,-756,1389,399
214,10,-756,1389,409
212,13,-757,1389,422
210,16,-757,1389,432
208,19,-757,1389,443
207,21,-758,1391,455
206,22,-759,1393,466
207,22,-759,1393,477
208,22,-759,1392,488
209,21,-759,1390,499
209,20,-759,1390,509
209,21,-759,1389,522
209,22,-759,1389,532
209,24,-759,1389,542
208,25,-760,1389,555
207,26,-760,1388,568
206,27,-760,1388,577
205,27,-760,1388,588
204,28,-761,1386,599
205,29,-761,1386,609
207,30,-761,1385,621
210,31,-762,1384,632
212,32,-762,1384,643
212,33,-763,1384,656
210,32,-764,1384,665
207,31,-764,1384,677
204,28,-765,1384,687
203,26,-766,1382,699
201,24,-766,1382,709
202,22,-766,1382,722
204,23,-768,1381,733
206,24,-768,1381,743
208,25,-768,1381,754
211,27,-769,1381,766
212,29,-769,1381,776
212,32,-769,1381,788
212,35,-770,1380,798
212,37,-770,1380,810
211,39,-770,1380,823
210,39,-770,1381,833
210,37,-770,1381,842
208,37,-770,1381,855
206,35,-770,1381,865
205,35,-770,1381,876
204,35,-769,1381,888
207,35,-768,1380,899
212,36,-768,1380,909
216,37,-768,1380,921
219,38,-767,1382,932
219,38,-767,1382,942
220,39,-767,1383,954
221,38,-766,1384,965
221,36,-766,1384,975
221,34,-766,1385,988
216,31,-766,1386,999
210,30,-766,1386,1007
206,30,-765,1386,1021
202,31,-765,1386,1032
202,33,-765,1386,1042
203,34,-764,1386,1056
205,35,-764,1386,1065
214,36,-764,1386,0
217,34,-764,1386,12
219,31,-764,1386,23
219,29,-764,1386,33
216,30,-765,1388,45
212,31,-766,1391,59
204,32,-766,1391,66
197,33,-766,1390,79
186,33,-766,1389,90
176,34,-766,1389,99
174,35,-767,1388,111
180,33,-768,1385,122
190,32,-768,1385,135
202,30,-768,1384,145
211,30,-768,1384,156
212,33,-770,1385,166
213,35,-770,1385,180
213,34,-772,1386,190
213,32,-772,1386,201
211,29,-773,1386,212
210,27,-774,1386,223
209,29,-774,1386,233
208,31,-774,1386,246
210,32,-775,1385,257
211,33,-775,1385,267
